Iterations,K
0,5828
1,5849
2,5833
3,5833
7,5868
9,5844
11,5844
12,5828
13,5844
14,5857
15,5871
19,5847
20,5882
21,5861
22,5761
23,5778
24,5778
25,5772
26,5807
27,5807
28,5870
30,5870
31,5864
32,5875
33,5886
35,5886
36,5886
37,5886
39,5886
40,5986
41,5986
42,6001
43,6001
44,5987
45,6005
47,5983
51,5989
52,5981
53,5981
54,5981
55,5981
57,5990
58,5990
59,6006
60,6023
62,6023
68,6017
70,6017
71,6022
74,6022
75,6022
76,6033
77,6018
78,6004
79,5996
80,5996
81,6003
82,6011
87,5990
88,6004
92,6004
93,6004
94,6016
95,5992
96,5992
97,6005
99,6005
